NDB,OUTPUT,X,Z,Y
13,9,-7.844052,54.316539,290.988061
13,10,-22.091843,51.754196,292.841269
13,11,-53.40121,8.362399,268.036633
13,12,-29.145257,22.982654,270.487474
13,13,-64.328927,15.4063,272.485018
13,14,-39.319517,30.597144,274.020608
13,15,-64.197933,31.921714,275.389203
13,16,-40.48586,-31.627628,263.723527
,,,,
14,1,-23.76069,23.306418,305.40964
14,2,-30.460726,15.00029,306.728258
14,3,-41.500122,-0.866836,307.353295
14,4,-41.453428,-9.241436,309.507096
14,5,-19.73154,-49.828034,319.771153
14,6,-14.630726,-18.709654,318.61525
14,7,-24.714358,-47.986848,314.464018
14,8,-33.642878,-42.923459,312.043303
14,9,-46.734011,-12.987223,308.937974
14,10,-40.632526,-43.010997,307.518315
14,11,-60.804304,-27.149258,306.570355
14,12,-59.055311,-40.514804,305.818669
,,,,
15,1,26.161026,-42.041061,304.684479
15,2,-6.43743,-29.051974,306.727169
15,3,31.215388,-15.46941,308.416089
15,4,-10.828165,-62.776853,307.418407
15,5,21.505658,-66.468109,305.07775
15,6,-10.696839,-75.765443,303.144644
15,7,1.465764,-87.606734,301.973828
15,8,16.449923,-89.814916,300.528263
15,9,-14.300586,-38.674831,340.309519
15,10,-5.846796,-19.193631,339.118505
15,11,2.726731,-11.298143,336.837155
15,12,22.649755,-48.593738,344.543943
15,13,-8.039339,-67.019315,342.860473
15,14,15.518698,-80.402426,340.744705
15,15,19.432604,-35.15099,348.547148
15,16,-12.896734,-56.232514,348.669041
