Pixel #,Original Facet ID ,X,Z,Y,,,,,,,,,
107,92,-148.472633,9.936733,168.478833,,,,,,,,,
108,91,-134.4428,32.094,163.8192,,,,,,,,,
109,182,-114.573333,13.738267,129.994767,,,,,,,,,
110,181,-117.529033,34.658667,145.5854,,,,,,,,,
111,179,-77.2087,54.273433,132.5628,,,,,,,,,
112,180,-97.403633,52.245767,147.765667,,,,,,,,,
113,178,-91.647567,67.039933,168.974833,,,,,,,,,
114,78,-109.425967,68.3672,186.751833,,,,,,,,,
115,79,-132.0958,51.008367,183.776467,,,,,,,,,
116,80,-144.779567,52.4949,203.702533,,,,,,,,,
117,77,-100.343067,76.6345,210.1986,,,,,,,,,
118,76,-113.6281,74.6516,233.2419,,,,,,,,,
119,75,-135.394767,67.870833,229.7212,,,,,,,,,
120,6,-142.914367,66.0591,246.673467,,,,,,,,,
121,7,-160.212667,51.734433,243.821433,,,,,,,,,
122,5,-142.0299,66.7712,269.710667,,,,,,,,,
123,8,-159.3282,52.446533,266.858633,,,,,,,,,
124,9,-167.3448,39.249667,280.475333,,,,,,,,,
125,10,-157.447767,33.7862,308.1678,,,,,,,,,
126,11,-137.809233,44.476667,312.835233,,,,,,,,,
127,3,-122.223733,63.966367,294.679967,,,,,,,,,
128,4,-124.723267,70.9132,277.445233,,,,,,,,,
129,215,-103.841067,76.981867,257.928733,,,,,,,,,
130,214,-80.933567,77.4052,260.134167,,,,,,,,,
131,213,-62.4758,82.773133,241.056767,,,,,,,,,
132,175,-72.098267,84.3327,215.808033,,,,,,,,,
133,176,-56.6879,85.304533,198.529033,,,,,,,,,
134,177,-67.1543,76.279067,175.1426,,,,,,,,,
135,171,-47.226167,74.6682,158.9305,,,,,,,,,
136,170,-51.5245,67.456733,137.559867,,,,,,,,,
137,169,-25.9321,68.8569,124.475767,,,,,,,,,
138,168,1.843467,74.849067,132.496533,,,,,,,,,
139,167,1.157633,80.84,153.3986,,,,,,,,,
140,172,-22.3196,82.0593,166.748467,,,,,,,,,
141,173,-15.387533,85.674667,192.7962,,,,,,,,,
142,174,-29.8277,87.309033,208.364667,,,,,,,,,
143,204,-16.7451,84.527067,237.6677,,,,,,,,,
144,205,-33.982833,80.963,253.0808,,,,,,,,,
145,2,-95.331033,65.433767,299.161567,,,,,,,,,
146,212,-74.923067,72.803933,284.132267,,,,,,,,,
147,211,-52.9151,65.079367,291.288567,,,,,,,,,
148,206,-30.432633,67.8705,279.3145,,,,,,,,,
149,207,-13.164967,50.6603,291.521,,,,,,,,,
150,40,-11.0075,2.687167,310.7727,,,,,,,,,
151,41,-23.087267,-21.013833,313.658433,,,,,,,,,
152,42,-15.1491,-40.114133,301.053667,,,,,,,,,
153,33,-30.1691,-60.1157,293.306133,,,,,,,,,
154,32,-17.762633,-73.421667,274.242433,,,,,,,,,
155,31,-32.829533,-83.565833,257.027367,,,,,,,,,
156,106,-17.2816,-86.5,233.352367,,,,,,,,,
157,105,-32.869067,-86.0823,211.171267,,,,,,,,,
158,102,-61.309467,-74.9756,167.618767,,,,,,,,,
159,103,-31.578267,-78.0934,165.7159,,,,,,,,,
160,104,-17.145267,-83.2934,187.133733,,,,,,,,,
161,110,27.4585,-77.807333,166.546233,,,,,,,,,
162,109,12.852067,-82.4934,187.792867,,,,,,,,,
163,108,26.321033,-85.7616,211.021667,,,,,,,,,
164,107,11.911167,-86.9793,232.543633,,,,,,,,,
165,46,26.359933,-82.309067,255.087267,,,,,,,,,
166,45,12.234067,-71.6856,273.111067,,,,,,,,,
167,44,23.352567,-57.0336,291.9513,,,,,,,,,
168,43,8.375867,-38.7681,300.8302,,,,,,,,,
169,50,16.261367,-21.6519,311.8658,,,,,,,,,
170,51,4.816167,0.703067,309.203533,,,,,,,,,
171,52,20.369533,13.359233,318.0424,,,,,,,,,
172,199,22.1805,33.4725,310.753067,,,,,,,,,
173,200,6.633967,50.607133,290.4698,,,,,,,,,
174,201,21.370433,67.319533,278.143467,,,,,,,,,
175,202,25.3274,80.433733,252.9138,,,,,,,,,
176,203,10.561,84.4956,237.620533,,,,,,,,,
177,164,24.606567,87.955533,207.686933,,,,,,,,,
178,165,11.740633,86.352633,192.165633,,,,,,,,,
179,166,22.1478,82.583767,166.1179,,,,,,,,,
180,183,48.4084,74.978367,158.443467,,,,,,,,,
181,184,67.071767,76.097633,174.336967,,,,,,,,,
182,185,53.6771,85.305933,197.5327,,,,,,,,,
183,186,68.4973,84.168167,214.899467,,,,,,,,,
184,230,54.193167,82.7559,240.346967,,,,,,,,,
185,231,71.179633,78.345667,259.0071,,,,,,,,,
186,228,63.829333,72.2961,283.102567,,,,,,,,,
187,229,42.8859,63.592133,289.6721,,,,,,,,,
188,216,43.678567,45.187833,311.267267,,,,,,,,,
189,217,64.827033,34.0587,327.124733,,,,,,,,,
190,63,65.280733,7.043233,338.516633,,,,,,,,,
191,53,42.3213,-1.9409,329.9485,,,,,,,,,
192,49,38.237367,-22.603967,323.341933,,,,,,,,,
193,48,57.058267,-38.3402,319.467133,,,,,,,,,
194,47,50.058967,-55.653633,299.1121,,,,,,,,,
195,55,68.7096,-69.2917,283.7618,,,,,,,,,
196,54,56.129067,-81.295133,258.5772,,,,,,,,,
197,114,70.607067,-85.3373,237.6407,,,,,,,,,
198,113,55.2478,-85.133533,212.6288,,,,,,,,,
199,111,56.523,-74.5566,168.960467,,,,,,,,,
200,112,70.843333,-78.6146,191.814233,,,,,,,,,
201,118,111.956533,-57.957633,173.345533,,,,,,,,,
202,117,100.026367,-71.6377,193.928,,,,,,,,,
203,116,114.8118,-70.621833,218.995367,,,,,,,,,
204,115,100.988033,-77.8025,241.8935,,,,,,,,,
205,57,114.9462,-71.574833,269.554633,,,,,,,,,
206,56,97.145767,-67.1062,290.486433,,,,,,,,,
207,61,105.8376,-48.920433,315.165467,,,,,,,,,
208,62,84.400733,-33.7925,328.795867,,,,,,,,,
209,64,88.539267,-9.072133,341.2388,,,,,,,,,
210,227,86.194133,64.086467,299.888033,,,,,,,,,
211,218,86.399167,44.253367,322.315033,,,,,,,,,
212,65,113.7531,4.802,341.1352,,,,,,,,,
213,219,112.0667,31.112033,333.603333,,,,,,,,,
214,220,131.2503,44.1999,314.782033,,,,,,,,,
215,226,114.8441,63.040567,294.788333,,,,,,,,,
216,225,121.2472,68.884867,272.066967,,,,,,,,,
217,232,99.947533,75.980333,253.0712,,,,,,,,,
218,188,112.4057,71.121033,228.059867,,,,,,,,,
219,187,97.941933,74.898633,208.548267,,,,,,,,,
220,194,110.017733,65.217267,185.565167,,,,,,,,,
221,195,93.967767,65.2785,168.720633,,,,,,,,,
222,196,100.430233,50.1857,147.882333,,,,,,,,,
223,197,119.865867,30.954,145.815067,,,,,,,,,
224,198,136.9868,27.805833,164.0737,,,,,,,,,
225,193,133.601133,46.9763,182.9855,,,,,,,,,
226,192,146.482833,47.8844,202.914867,,,,,,,,,
227,189,137.3632,62.347767,225.006133,,,,,,,,,
228,224,144.293667,60.461833,253.623167,,,,,,,,,
229,223,161.210233,47.3941,254.860033,,,,,,,,,
230,222,165.5832,38.646733,282.018,,,,,,,,,
231,221,152.327867,35.9414,310.845867,,,,,,,,,
232,67,156.5621,7.815167,321.095033,,,,,,,,,
233,66,137.170933,-10.236367,332.563067,,,,,,,,,
234,60,133.393967,-39.238433,319.036267,,,,,,,,,
235,59,151.2448,-44.2637,297.039767,,,,,,,,,
236,58,141.488867,-58.414333,272.237167,,,,,,,,,
237,70,154.304133,-49.262033,247.424733,,,,,,,,,
238,127,141.585233,-55.241867,221.844067,,,,,,,,,
239,126,150.278567,-39.530767,199.879567,,,,,,,,,
240,119,135.4353,-41.230667,176.4484,,,,,,,,,
241,120,138.118933,-19.0334,159.920233,,,,,,,,,
242,121,149.3823,3.825967,169.534633,,,,,,,,,
243,122,163.6143,5.097167,190.9508,,,,,,,,,
244,191,164.1005,29.985133,205.419233,,,,,,,,,
245,190,171.897433,31.380767,228.747367,,,,,,,,,
246,123,181.747133,9.629967,237.373833,,,,,,,,,
247,73,183.2845,5.2968,262.816067,,,,,,,,,
248,74,177.807767,18.300233,281.347567,,,,,,,,,
249,68,171.7691,-0.4359,304.0366,,,,,,,,,
250,69,170.228767,-23.5127,293.508133,,,,,,,,,
251,72,179.502067,-18.815067,269.835933,,,,,,,,,
252,71,173.333367,-30.413767,248.555133,,,,,,,,,
253,124,177.5301,-12.925133,227.862467,,,,,,,,,
254,125,167.1942,-16.0623,204.767567,,,,,,,,,
